Index Name,Date,Open_spot,High_spot,Low_spot,Close_spot,Symbol,Expiry,Open_fut,High_fut,Low_fut,Close_fut,LTP_x,Settle Price,No. of contracts,Turnover * in   ₹ Lakhs,Open Int,Change in OI,Underlying Value,DaysToExpiry,TradeDate,STRIKE,LTP_y,IV,VOLUME,OI,CHNG IN OI,OptionType,ATM,EMA_5,EMA_15,Spot_Return,Futures_Return,Futures_Basis,Delta,Gamma,Theta,Vega,Rho,PCR_OI,PCR_VOLUME,Gamma_Exposure,Call_IV,Put_IV,Average_IV,IV_Spread,Call_Delta,Put_Delta,Delta_Neutral_Ratio
NIFTY 50,2025-03-24,23515.4,23708.75,23433.5,23658.35,,,,,,,,,,,,,,,2025-03-24,,,,,,,,,23234.96727196847,22877.631013899303,0.01310200357491904,,,,,,,,,,,,,,,,,
NIFTY 50,2025-03-25,23751.5,23869.6,23601.4,23668.65,,,,,,,,,,,,,,,2025-03-25,,,,,,,,,23379.528181312315,22976.508387161888,0.00043526951476421065,,,,,,,,,,,,,,,,,
NIFTY 50,2025-03-26,23700.95,23736.5,23451.7,23486.85,,,,,,,,,,,,,,,2025-03-26,,,,,,,,,23415.302120874876,23040.301088766653,-0.007710697617041672,,,,,,,,,,,,,,,,,
NIFTY 50,2025-03-27,23433.95,23646.45,23412.2,23591.95,,,,,,,,,,,,,,,2025-03-27,,,,,,,,,23474.18474724992,23109.257202670822,0.004464862086427852,,,,,,,,,,,,,,,,,
NIFTY 50,2025-03-28,23600.4,23649.2,23450.2,23519.35,,,,,,,,,,,,,,,2025-03-28,,,,,,,,,23489.23983149995,23160.51880233697,-0.0030820655541120134,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-01,23341.1,23565.15,23136.4,23165.7,,,,,,,,,,,,,,,2025-04-01,,,,,,,,,23381.39322099997,23161.16645204485,-0.015150750180769317,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-02,23192.6,23350.0,23158.45,23332.35,,,,,,,,,,,,,,,2025-04-02,,,,,,,,,23365.045480666646,23182.564395539244,0.007168073222718935,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-03,23150.3,23306.5,23145.8,23250.1,,,,,,,,,,,,,,,2025-04-03,,,,,,,,,23326.730320444432,23191.00634609684,-0.003531376536686799,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-04,23190.4,23214.7,22857.45,22904.45,,,,,,,,,,,,,,,2025-04-04,,,,,,,,,23185.970213629622,23155.186802834738,-0.01497821827338226,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-07,21758.4,22254.0,21743.65,22161.6,,,,,,,,,,,,,,,2025-04-07,,,,,,,,,22844.513475753083,23030.988452480397,-0.03297015338730526,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-08,22446.75,22697.2,22270.85,22535.85,,,,,,,,,,,,,,,2025-04-08,,,,,,,,,22741.625650502057,22969.096145920346,0.016746313096183522,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-09,22460.3,22468.7,22353.25,22399.15,,,,,,,,,,,,,,,2025-04-09,,,,,,,,,22627.467100334707,22897.852877680303,-0.00608436282244175,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-11,22695.4,22923.9,22695.4,22828.55,,,,,,,,,,,,,,,2025-04-11,,,,,,,,,22694.494733556472,22889.190017970264,0.018988933890639957,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-15,23368.35,23368.35,23207.0,23328.55,,,,,,,,,,,,,,,2025-04-15,,,,,,,,,22905.84648903765,22944.110015723978,0.0216659867627985,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-16,23344.1,23452.2,23273.05,23437.2,,,,,,,,,,,,,,,2025-04-16,,,,,,,,,23082.964326025103,23005.746263758483,0.004646571282831792,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-17,23401.85,23872.35,23298.55,23851.65,,,,,,,,,,,,,,,2025-04-17,,,,,,,,,23339.19288401674,23111.484230788672,0.017528893682587383,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-21,23949.15,24189.55,23903.65,24125.55,,,,,,,,,,,,,,,2025-04-21,,,,,,,,,23601.311922677825,23238.24245194009,0.011418047561345738,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-22,24185.4,24242.6,24072.0,24167.25,,,,,,,,,,,,,,,2025-04-22,,,,,,,,,23789.957948451884,23354.36839544758,0.001726965939596701,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-23,24357.6,24359.3,24119.95,24328.95,,,,,,,,,,,,,,,2025-04-23,,,,,,,,,23969.621965634593,23476.19109601663,0.006668588435125756,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-24,24277.9,24347.85,24216.15,24246.7,,,,,,,,,,,,,,,2025-04-24,,,,,,,,,24061.981310423063,23572.504709014553,-0.003386473618159028,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-25,24289.0,24365.45,23847.85,24039.35,,,,,,,,,,,,,,,2025-04-25,,,,,,,,,24054.437540282044,23630.860370387734,-0.008588454617289994,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-28,24070.25,24355.1,24054.05,24328.5,,,,,,,,,,,,,,,2025-04-28,,,,,,,,,24145.791693521365,23718.065324089268,0.011956431581801425,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-29,24370.7,24457.65,24290.75,24335.95,,,,,,,,,,,,,,,2025-04-29,,,,,,,,,24209.177795680913,23795.300908578112,0.0003061783317472563,,,,,,,,,,,,,,,,,
NIFTY 50,2025-04-30,24342.05,24396.15,24198.75,24334.2,,,,,,,,,,,,,,,2025-04-30,,,,,,,,,24250.851863787277,23862.66329500585,-7.191266107682891e-05,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-02,24311.9,24589.15,24238.5,24346.7,,,,,,,,,,,,,,,2025-05-02,,,,,,,,,24282.801242524853,23923.167883130118,0.0005135484460936932,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-05,24419.5,24526.4,24400.65,24461.15,,,,,,,,,,,,,,,2025-05-05,,,,,,,,,24342.250828349905,23990.415647738853,0.004689827958917901,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-06,24500.75,24509.65,24331.8,24379.6,,,,,,,,,,,,,,,2025-05-06,,,,,,,,,24354.70055223327,24039.0636917715,-0.0033394276617622325,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-07,24233.3,24449.6,24220.0,24414.4,,,,,,,,,,,,,,,2025-05-07,,,,,,,,,24374.600368155516,24085.98073030006,0.0014264051276974533,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-08,24431.5,24447.25,24150.2,24273.8,,,,,,,,,,,,,,,2025-05-08,,,,,,,,,24341.00024543701,24109.45813901255,-0.005775542773460358,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-09,23935.75,24164.25,23935.75,24008.0,,,,,,,,,,,,,,,2025-05-09,,,,,,,,,24230.000163624674,24096.775871635982,-0.011010471243807775,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-12,24420.1,24944.8,24378.85,24924.7,,,,,,,,,,,,,,,2025-05-12,,,,,,,,,24461.566775749787,24200.266387681484,0.037472171529076455,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-13,24864.05,24973.8,24547.5,24578.35,,,,,,,,,,,,,,,2025-05-13,,,,,,,,,24500.494517166524,24247.5268392213,-0.013993305528556882,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-14,24613.8,24767.55,24535.55,24666.9,,,,,,,,,,,,,,,2025-05-14,,,,,,,,,24555.96301144435,24299.948484318636,0.0035962898121936287,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-15,24694.45,25116.25,24494.45,25062.1,,,,,,,,,,,,,,,2025-05-15,,,,,,,,,24724.675340962902,24395.21742377881,0.015894480888894447,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-16,25064.65,25070.0,24953.05,25019.8,,,,,,,,,,,,,,,2025-05-16,,,,,,,,,24823.050227308602,24473.290245806456,-0.0016892334379733957,,,,,,,,,,,,,,,,,
